Name,Statement
Jillian Hicks,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Peter Rodriguez,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Stephanie Brennan,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Edward Moore,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Ian Webster,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Carl Jones,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Jennifer Phillips,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Ronald Wilson,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Austin Walker,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Alan Banks,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Andrew Sharp,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Savannah Roberts,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Marcus Hull,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Brianna Hardy,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Catherine Mathews,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Kristen Randall,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Mary Ferrell,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Brandon Daniels,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Misty Ashley,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Benjamin Miller,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Brittany Howard,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Leslie Robinson,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Paul Miller,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Vanessa Blackwell,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Jessica Woodard,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Denise Parker,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Daniel Campbell,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Anthony Washington,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Amanda Santos,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Aaron Logan,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Dr. Edward Wright Jr.,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Mark Singh,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Mrs. Daisy Johnson MD,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Michael Peterson,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
George Mclaughlin,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Patricia Hernandez,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Brandon Bennett,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Deborah Lee,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Mrs. Kristina Wilson,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Darrell Contreras,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Thomas Reyes,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
William Schmidt MD,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Patrick Mccarthy,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Shawn Jimenez,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Timothy Davila,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Eric Dominguez,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Cassandra Anderson,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Arthur Gutierrez,Fardina always has the rarest edition of markers and I just had to get my hands on them :(
Javier Butler,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Richard Byrd,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Daniel Steele,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Wayne Reid,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Bryan Fuller,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Patrick Farrell,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
David Smith,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Emma Nelson,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
George Coleman,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Brenda Smith,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Brittney Jones,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Kenneth Watson,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Jacob Dorsey MD,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Maria Brown,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Donald Stewart,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Shaun Smith,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Rachel Garcia,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Pamela Salas,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Jessica Jones,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Rebecca Warner,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Larry Kennedy,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Kathleen Garza,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Dorothy Johnson,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Cynthia Marquez,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Corey Jackson,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Kiara Arnold,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Jose Anderson,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Alexandria Stephens,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Ronald Harrison,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Mark Keller,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Michael Reid,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Alan Reese,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Jesse Gaines,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Mr. Christian Boyd,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Robert Ochoa,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Brian Smith,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Manuel Mendoza,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Dean Davis,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Daisy Parker,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Lori Kelley,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Brooke Stewart,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Vincent Allen,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Amy Austin,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Larry Pena,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Matthew Stuart,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Tristan Miller,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Christopher Rodriguez,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Clarence Gardner,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Kenneth Cannon,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Katherine Young,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Ruth Bryant,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Patricia Reynolds,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Breanna Stevens,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Angela Sawyer,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Jacqueline Gill DVM,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Micheal Franklin,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Aaron Sanchez,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Brooke Barajas,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Scott Webb,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Evan Norris,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Gary Perez,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Lisa Bailey,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Christopher Franklin,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Heather Carr,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Laurie Williams,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Karen Roberts,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Aaron Tate,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Jessica Porter,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Alec Williams,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Jeffrey Perez,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Richard James,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Devin Mccarthy,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Jill Mason,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Zichao Liang,"We don't keep track of ticket colors, but my business partner Elizabeth Uiq might know how to find it!"
Steven Chen,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Jon Terry,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Jessica Saunders,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Troy Nichols,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Taylor Douglas,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Matthew Woodard,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Sharon Munoz,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Sandra Jones,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Allen Downs,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Mr. Thomas Boyd,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Nancy Brandt,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Tiffany Giles,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Laura Johnson,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
John Hernandez,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
John Garcia,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Robert Bradford,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Shannon Abbott,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Mary Lara,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Kyle Morgan,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Cynthia Conner,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Rachel Alexander,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Julie Adams,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Anne Butler,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Andrea Le,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Linda Green,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Madison Dean,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Elijah Coleman,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Donald Herrera,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Matthew Miranda,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Christina Scott,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Nathan Horton,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Alan Hill,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Francisco Hill,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Adrian Hernandez,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
James Juarez,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Joanne Bailey,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Shannon Richard,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Brooke Clark,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Timothy Horne,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Olivia Smith,"In ASCII, First 3 hex values: single or multi leveled. Remaining binary digits: direction from stadium."
Amy Anderson,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Jessica Hendricks,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Mitchell Rivera,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Brandon Johnson,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Jason Hoffman,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Becky Jackson,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Bryan Stewart,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Alexander White,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Calvin Powers,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Douglas Banks,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Jasmine Erickson,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Erica Figueroa,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Nathan Wilcox,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Jason Fischer,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Linda Hess,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Brittney Nelson,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Daniel Mendoza,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Donna Dillon,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Anthony Kane,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Daniel Stevens,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Jennifer Wood MD,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Kristin Martin,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Nancy Bradshaw,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Jesus Santos,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Eduardo Bush,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Michelle Weber,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Jenna Thomas,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Edward Gutierrez,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Colleen Hogan,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Sarah Ruiz DVM,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Jerry Lee,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Matthew Hall,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Laurie Perry,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Danielle Wright,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Charles Johnson,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Fred Eaton,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Brittany Jones,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Andrea Banks,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Michelle Jimenez,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Casey Wright,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Kayla Hanson,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Mrs. Paige Young,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Christopher Burns,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Natasha Austin,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Erin Medina,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Michael Hood,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Heather Stone,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Mrs. Barbara Harris,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Mary Gonzalez,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Donna Guzman,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Julia Hansen,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Abigail Nelson,Why would I need to steal a marker? I have plenty of my own. This accusation is absurd.
Hayley Roach,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
Matthew Johns,I had back-to-back exams that day. Stealing Dr. Fardina's marker would be the last thing on my mind!
Ashley Wright,I wasn't even on campus that day. Check the attendance logs; you won't find my name.
Kristen Martin,I was busy with my project presentation in another building. I didn't even step into Dr. Fardina's room.
Debra Campbell,"Stealing? That's not in my nature at all. I respect everyone's property, especially Dr. Fardina's."
